person_id,Category,organizations,locations,dates,skills
Candidate_17855844,HR,"Human Resources, Change Management Employee Relations, Training & Development Performance Management HR Information Systems, HRIS, Organization Development (OD) Change Management Employee Relations","Oracle, U.S., Dallas, North America, Caribbean","daily, three months, annual, three years, annually",aws
Candidate_57667857,HR,"Highlights PHR Certified Professionals in Human Resources Association Excellent, National Human Resources Association Talent, Affirmative Action, PeopleFluent/Taleo, the Staffing Planning Committee",－ City,"25 years, years, monthly, year-end",aws
Candidate_17422560,HR,"Microsoft Word, PowerPoint, Current Company Name, State, PTO","Employee, － City","February 2015, year-end, each month, June 2012, August 2007 to June 2012",
Candidate_32947778,HR,"Highlights Hiring, Recruiting Compensation, Labor, MS Office Excellent, HRIS",Name City,"weekly, 02/2009, annually",aws
Candidate_23914451,HR,"GENERALIST Summary Human Resource, HRIS, EEOC, Time Management System, Applicant Tracking System",,"May 2015, each week, June 2004 to May 2015, February 2001 to March 2004, daily",aws
Candidate_21265194,HR,"Line of Business Leaders, Highlights Project, Talent, Performance Management, Recognition",,"June 2007, November 2001 to May 2007, 1990, 1964, March 2001 to November 2001",aws
Candidate_51769822,HR,"Highlights Administration/ Accounting/HR, Purchasing, Inventory, Microsoft Words, State Coordinated, State","Strong, － City, Corporate, I-9","30+ years, weekly, June 2014 to June 2014 Company Name － City, October 2012, September 2006 to October 2012",
Candidate_19616406,HR,"Employee Relations, 401k Management, Payroll, EEOC, FAA, DOT",－ City,"10 years, May 2005, weekly, days, annual",
Candidate_41523474,HR,"Human Resource Management and Finance, Highlights Human, H.O., Doon University City, State","Name City, India, Dehradun, Uttarakhand, Houston","May 2013 to June 2014, the end of each month, monthly, 2012, 2 Months",
Candidate_59962788,HR,"Skills New, HR Compliance Project, MS Office, Interpersonal Skills Good Communication Skill Fast, 09/2014 HR Executive Company Name","Involvement, Employee","2012, 2006, 2010, Mar'12 - Apr'12, 2 Months","java, sql"
Candidate_86184722,HR,"GENERALIST Skills Microsoft Office, SAP, IBM, ADP, MSS",－ City,"Jan 2015, Jan 2012 to Jan 2015, 120 days, Jan 2010, the month",aws
Candidate_28419173,HR,"Professional Profile Skilled Program Coordinator, Qualifications Human, Contracts Social, Microsoft Office, Fill out Verification of Employment",,"120+, every 2 weeks, monthly, weekly, annual",
Candidate_18155310,HR,"PowerPoint, Current Company Name, State, Federal, State, Local Laws and, Job Postings Board","Employee, － City, Landlord","2012, bi-weekly, Jan 2003",aws
Candidate_26780935,HR,"Project Management Payroll System Expertise Creative Problem Solving, Internal Auditing Reporting Business Development, Current Company Name, State Review, I-9","－ City, Troubleshooting, Problem, Paychex","January 2011, monthly, weekly, October 2009 to January 2011 Company Name － City, July 2004 to October 2009",aws
Candidate_34554248,HR,"Current HR GENERALIST Company Name, State, TX, HRIS, PTO","－ City, NC","daily, first year, more than 30 years, April 2018",git
Candidate_26202430,HR,"HR Applications, Highlights Analytical, Project management Process improvement Quality, Microsoft Office, Troubleshooting Problem","Name City, US, SAP, Company Name City, Processed","quarterly, monthly, daily",data analysis
Candidate_19867922,HR,"HRIS, Facilitate, 06/2014 HR Generalist Company Name, State, State Processed","－ City, Totalview","weekly, monthly",data analysis
Candidate_91930382,HR,"Applicant Tracking System, Current Company Name, State Create, Education Human Resources Business Partner, Workforce","Magnasoft, Current City, US, the United States of America","six months, Jan 2015, 2015, Recruiter Jan 2011, a span of 6 months",git
