comment,topic_id,topic_label,confidence
"Okay, but the onion ring-egg thing it’s actually genious",9,9_onion_egg onion_onion ring_ring,1.0
Pickles and mustard don’t go with eggs,17,17_pickles_pickle_mustard_mustard pickles,0.392
Please cook a few seconds longer,-1,outlier,0.041
remove mayo and add ketchup,10,10_ketchup_mayo ketchup_bottle_wheres,0.344
ruined it with the sauces. can't even taste the burger,-1,outlier,0.026
Skimpy on the beef if you ask me,-1,outlier,0.026
So wats the secret formula 😈,-1,outlier,0.021
start cooking the burger first then onions and eggs then buns. That burger is undercooked,0,0_egg burger_egg_eggs_burger,0.087
Swap the tomato with another patty & we sorted 👍,2,2_tomato_salt_salt pepper_pepper,0.427
Take the pickles off and we good,8,8_pickles_cold_hot_heat,0.576
take the tomato out and we chilling,2,2_tomato_salt_salt pepper_pepper,0.332
Tf with these comments? Make it yourself if you dont like it…,22,22_people_theres_reason_tf,1.0
Thank you for not smashing the burger flat,-1,outlier,0.084
That egg finished cooking three business days before the burger...,0,0_egg burger_egg_eggs_burger,0.282
that is the krusty crab burger,7,7_krabby_krabby patty_patty_looks like,1.0
That is the lettest lettuce to ever let us,3,3_lettuce_lettuce tomato_veggies_tomato,1.0
that was such a polite video. not sure why I feel that way but it was so wholesome,-1,outlier,0.032
That’s what the paper is for?! I thought it was to separate the patties,14,14_gloves_using_meat_left,1.0
That's an upside down Wendy's burger?,-1,outlier,0.023
thats looks like a nice cheese burger but i prefer not to have the tomoato in 👍,6,6_burger_perfect burger_burger dont_thats,0.352
The egg yolk should be runny 86 the top bun and half of the mustard,1,1_egg_yolk_runny_lost,0.033
The fact that you did not make this into a hideous smash burger🥰,16,16_smash_love_im_fact,1.0
The mess u needed a ripe tomato,2,2_tomato_salt_salt pepper_pepper,0.622
The most important thing on a burger is missing onions,0,0_egg burger_egg_eggs_burger,0.066
The onion egg trick….that’s brilliant!,9,9_onion_egg onion_onion ring_ring,1.0
These burgers are made with love not like the fast food joints 😳,-1,outlier,0.173
this how I thought burger king made all of there burgers. 😂,6,6_burger_perfect burger_burger dont_thats,0.22
This is not the way.,-1,outlier,0.031
this person has cracked the Krabby pattie secret formula,7,7_krabby_krabby patty_patty_looks like,1.0
this what i expect from mcdonalds,-1,outlier,0.066
was perfect then tomato show up,2,2_tomato_salt_salt pepper_pepper,1.0
What color onions do you guys prefer?,9,9_onion_egg onion_onion ring_ring,0.729
what you do with the rest of the onion?,9,9_onion_egg onion_onion ring_ring,1.0
"WHAT'S THE WHITE ""STUFF"" IN THE RED (KETCHUP/CATSUP) BOTTLE?🤔",10,10_ketchup_mayo ketchup_bottle_wheres,0.519
Why cook the egg bun and onion before burger is even on?,0,0_egg burger_egg_eggs_burger,0.107
Why do people put sauces on bun with veggies. Sauces need be on the meat …..,3,3_lettuce_lettuce tomato_veggies_tomato,0.037
why do people squish their patties?,14,14_gloves_using_meat_left,0.442
why heat the pickles up?,8,8_pickles_cold_hot_heat,0.622
Why is the ketchup white,10,10_ketchup_mayo ketchup_bottle_wheres,0.472
Why they always use this cheap bad cheese?,4,4_cheese_cheeseburger_american_slice,1.0
why would an egg be there,1,1_egg_yolk_runny_lost,0.233
why your cheeseburger only have one slice of cheese?,4,4_cheese_cheeseburger_american_slice,1.0
"Wow, this looks delicious 🤤",15,15_delicious_looks delicious_looks_look,0.743
You lost me with the egg 😂😂😂😂😂,1,1_egg_yolk_runny_lost,1.0
your fired! my service time was way too long!,-1,outlier,0.116
1000/10 would eat. (10/10 doesn’t quite illustrate the point),-1,outlier,0.049
"42 seconds of my life, wasted, watching this nasty ass burger being made",6,6_burger_perfect burger_burger dont_thats,0.383
9 l a w i,-1,outlier,0.054
A mi me gusta la amburguesa solo con la carne y los pepinos y el queso,11,11_20_come_10_mayo,1.0
“Made with love” ahh burger🥀,16,16_smash_love_im_fact,1.0
Absolute hard no with egg on a burger.,0,0_egg burger_egg_eggs_burger,0.584
All good…. Then I saw the tomato (lack of) prep.,2,2_tomato_salt_salt pepper_pepper,1.0
All looks good except the tomato has the tough core in the centre,2,2_tomato_salt_salt pepper_pepper,0.726
All of y’all are such egg haters 😭😭😭,1,1_egg_yolk_runny_lost,0.431
always on that mf egg.,1,1_egg_yolk_runny_lost,1.0
always put lettuce n tomatoes on the mayo side n the pickles n onions on the mustard side. mayo n tomatoes make for a juicy burger. dont forget to add bacon on the mayo side.,23,23_bun_lettuce_tomatoes_order,1.0
AMSR for making a cheeseburger awwww.,4,4_cheese_cheeseburger_american_slice,0.613
and then you break the egg yellow 🫣,1,1_egg_yolk_runny_lost,0.578
Anyone else triggered by the mustard being in a red bottle?,5,5_mustard_mustard burger_sandwich_hot,1.0
Anyone that fries an egg in an onion ring need putting on death row… more so if that onion ring isn’t beer battered.,9,9_onion_egg onion_onion ring_ring,0.711
Apa yang ayu sangat kau buat burger ni,11,11_20_come_10_mayo,0.015
aus der Roten Flasche kommt Mayo raus 😳,11,11_20_come_10_mayo,0.089
bean soup theory going crazy in the comments,-1,outlier,0.161
better then anything you buy at outside restaurants,0,0_egg burger_egg_eggs_burger,0.112
bit cheap with the one onion ring buddy,9,9_onion_egg onion_onion ring_ring,0.596
bro gatekeeping a several hundred year old invention😭,-1,outlier,0.061
Bro really made a cheese burger 😂😭✌️,-1,outlier,0.019
buns mustard meat cheese pickles thats all that goes on a cheeseburger,17,17_pickles_pickle_mustard_mustard pickles,1.0
"buono, ma fa spruzzare il water",11,11_20_come_10_mayo,0.293
Burger should be at the bottom of the,20,20_burger burger_burger_burger thing_burger patty,0.429
burger tepi jln lg sedap,-1,outlier,0.069
but my mouth can't fit to eat that burger,-1,outlier,0.191
Can I get more seasoning on it? 😅 Looks good though,18,18_seasoning_people_grill_burger didnt,0.375
Can we get a seasoned burger next,18,18_seasoning_people_grill_burger didnt,0.167
Can we stop smashing the fuck out of the patties please,14,14_gloves_using_meat_left,0.081
can you make that one big burger in teen titans,6,6_burger_perfect burger_burger dont_thats,0.214
Can’t forget the Nuh dropping!,5,5_mustard_mustard burger_sandwich_hot,0.275
Cheeseburgers don't get lettuce tomato or eggs....this is a burger,3,3_lettuce_lettuce tomato_veggies_tomato,0.19
come.on man were r the fries? the cold drink? Just kid n,0,0_egg burger_egg_eggs_burger,0.044
como que quitandole el huevo quedaria de 10😃,11,11_20_come_10_mayo,0.486
couple of slices of bacon...perfection.,4,4_cheese_cheeseburger_american_slice,0.102
cut that hard white piece out of the tomato center please 🙏,2,2_tomato_salt_salt pepper_pepper,0.315
"Сама найгірше що їв в Житті!!!
Краще стейк пожар!!!",11,11_20_come_10_mayo,0.153
Damn bro this looks delicious,15,15_delicious_looks delicious_looks_look,0.219
Deep six the mustard. Damn.,5,5_mustard_mustard burger_sandwich_hot,0.482
Dem gloves look like the fit like a lifestyle😂 iykyk😂😂,14,14_gloves_using_meat_left,0.108
disfruta de tu huevo frito con micro organismos,11,11_20_come_10_mayo,1.0
Do we honestly need to be shown how to make a hamburger? 😂,6,6_burger_perfect burger_burger dont_thats,0.337
do you want a cookie 🍪🍩 cause you can make a cheeseburger wow you're amazing can you do a bowl of cereal next,21,21_cheeseburger_making cheeseburger_youre_making,0.174
does anybody like relish anymore,18,18_seasoning_people_grill_burger didnt,0.114
Does it come with a defibrillator?,13,13_yes_ill_need_hot pickle,0.162
Don’t trust anyone who put mayo on a ketchup bottle,10,10_ketchup_mayo ketchup_bottle_wheres,1.0
double egg on mine please 💕,1,1_egg_yolk_runny_lost,0.269
Double mustard was an odd choice. But it looks great,5,5_mustard_mustard burger_sandwich_hot,0.346
"Dry, mayo on both sides not mustard for me.",5,5_mustard_mustard burger_sandwich_hot,0.093
Dude just make a burger wtf is this,6,6_burger_perfect burger_burger dont_thats,1.0
🚨 Judgmental comment section alert 🚨,22,22_people_theres_reason_tf,0.315
Eating a burger no honey mustard,5,5_mustard_mustard burger_sandwich_hot,1.0
egg in burger ? are you insane ?,0,0_egg burger_egg_eggs_burger,0.466
Egg in the onion ring was a genius move,9,9_onion_egg onion_onion ring_ring,1.0
egg is amazing on a burger. unfortunately put four times as much mustard as should be on a burger and that is all you will taste now.,0,0_egg burger_egg_eggs_burger,0.22
Egg on a burger 🍔 🥰,0,0_egg burger_egg_eggs_burger,0.392
"egg, onion, tomato, lettuce, mustard, mayo, pickles, cheese, toasted bun. 10\10, bonus points for no ketchup.",23,23_bun_lettuce_tomatoes_order,1.0
Eggs and mayo dont belong a burgers,0,0_egg burger_egg_eggs_burger,0.343
eggs do not belong on burgers 🤢,0,0_egg burger_egg_eggs_burger,1.0
Eggs don’t belong on hamburgers.,0,0_egg burger_egg_eggs_burger,1.0
eggs don't belong on burgers,0,0_egg burger_egg_eggs_burger,1.0
End result was great but I have a few suggestions on your burger patty cooking method,0,0_egg burger_egg_eggs_burger,0.071
"Es kann doch jeder auf seinen Burger machen was er/sie möchte, wieder die Tomatenpolizei hier in den Kommentaren",11,11_20_come_10_mayo,0.095
Everybody has their own idea of what makes a perfect burger 🍔,6,6_burger_perfect burger_burger dont_thats,0.307
Everyone talking about leaving the egg out of the burger but I want the yolk runny,1,1_egg_yolk_runny_lost,0.029
Everyone talking about the lettuce and tomato where the FF is the seasoning on the meat??,3,3_lettuce_lettuce tomato_veggies_tomato,0.282
Everything was okay until he puts the pickles,8,8_pickles_cold_hot_heat,1.0
Exactly…Ketchup doesn’t go on a burger,10,10_ketchup_mayo ketchup_bottle_wheres,0.523
Expert culinary artist here ... here for the expert opinions... I mean comments lol,-1,outlier,0.033
favoloso con guanti e posate❤️,11,11_20_come_10_mayo,0.639
For love of the Devil put a dolop of chillies,-1,outlier,0.057
"for me, it would be Perfect without egg, i have eggs in burgers",0,0_egg burger_egg_eggs_burger,0.165
fried egg on a burger here in my part of NY makes it a moose burger,0,0_egg burger_egg_eggs_burger,0.4
"Fry the burger in a lil mustard, you'll thank me later",5,5_mustard_mustard burger_sandwich_hot,1.0
get that nasty tomato off of it!!,2,2_tomato_salt_salt pepper_pepper,0.509
get that salad and tomato off there,2,2_tomato_salt_salt pepper_pepper,0.408
Great looking burger. And congrats on not wearing those stupid black gloves.,14,14_gloves_using_meat_left,0.096
GREAT! A MUSTARD SANDWICH! 😂,5,5_mustard_mustard burger_sandwich_hot,0.293
Hate when they smash all the flavor out the burger,-1,outlier,0.096
health bites showing a burger?? 🤔,-1,outlier,0.062
Heat up those pickles!!! 🤮,8,8_pickles_cold_hot_heat,0.77
Hold the pickles and the mustard,17,17_pickles_pickle_mustard_mustard pickles,1.0
Honestly probably the best I’ve seen putting a fried egg on a burger. Idk after you bite in but it always goes everywhere,0,0_egg burger_egg_eggs_burger,0.367
hope you changed that glove after touching the raw patty before handling the burger smasher. cross contamination with everything else.,14,14_gloves_using_meat_left,0.24
how much mayo did you not put on that burger,12,12_mayo_mayo looks_bottle_red bottle,0.161
How to make an “American” cheeseburger via by how the rest of the world thinks it is.,4,4_cheese_cheeseburger_american_slice,0.781
How to ruin a cheeseburger in 5 easy steps:,4,4_cheese_cheeseburger_american_slice,0.352
i am proud of what you have gave me.,-1,outlier,0.063
I didnt know we could make it like that,16,16_smash_love_im_fact,1.0
I don’t get egg on burgers. I thought it changed the taste too much,0,0_egg burger_egg_eggs_burger,0.43
"I don't like pickles, I'll remove it on every burgers",8,8_pickles_cold_hot_heat,1.0
I dont like that you made the egg first. I like my egg a bit runny,1,1_egg_yolk_runny_lost,0.533
I feel like I just watched SpongeBob tuck in his krabby patty pickles in an epic showdown with king Neptune…,7,7_krabby_krabby patty_patty_looks like,0.755
I guess the mayo is extra charge,12,12_mayo_mayo looks_bottle_red bottle,1.0
I hate how yall flip the burger and instantly put the cheese on i flip mine at least 2 times for each side,4,4_cheese_cheeseburger_american_slice,0.104
I hate pressed meat! You are drying out the meat! Let it cook!,14,14_gloves_using_meat_left,0.257
I know the Krabby Patty recipe when I see it.😏,7,7_krabby_krabby patty_patty_looks like,0.737
I like the burger presser condom,6,6_burger_perfect burger_burger dont_thats,0.342
"I love burger very much..
swear to god",6,6_burger_perfect burger_burger dont_thats,0.314
I love burgers!! Great video,6,6_burger_perfect burger_burger dont_thats,0.248
I prefer my egg yolk runny,1,1_egg_yolk_runny_lost,0.339
"i saw it only in ads,bruh.😭",-1,outlier,0.047
i think im in love,16,16_smash_love_im_fact,0.304
I thought the wax paper to press the patty was a weird cheese for a sec,14,14_gloves_using_meat_left,1.0
i want 4 thanks 😁,13,13_yes_ill_need_hot pickle,0.209
I want my burger like this,6,6_burger_perfect burger_burger dont_thats,1.0
I was done as soon as the yolk broke. Sorry.,1,1_egg_yolk_runny_lost,0.073
I was salivating all over this clip 🤤🤤🤤,-1,outlier,0.032
I was with you until you put mustard on it.,5,5_mustard_mustard burger_sandwich_hot,0.386
I was with you until you put veggies on the bottom,3,3_lettuce_lettuce tomato_veggies_tomato,0.062
I would not have thought making burger could be so aesthetical ! happy you !,6,6_burger_perfect burger_burger dont_thats,0.298
"I would’ve had mine already made, ate it and washed the dishes by the time this burger was made lol 😂",-1,outlier,0.139
I’d bya for putting that egg on my burger,0,0_egg burger_egg_eggs_burger,1.0
I’m just glad when you squished the patty down that you didn’t push it down so much that when it cooks all is left is two microscopic molecules of patty left,14,14_gloves_using_meat_left,1.0
I’m so tired of smash burgers and egg on everything,0,0_egg burger_egg_eggs_burger,0.203
Idk about Ya'll ts look delicious,-1,outlier,0.028
"if i see a title ""making a cheeseburger"" and then I see an egg, I move on",21,21_cheeseburger_making cheeseburger_youre_making,1.0
if you want to make a cheeseburger use CHEESE amd no plastic cheeselike crap,4,4_cheese_cheeseburger_american_slice,0.656
"If you would’ve tucked the pickles in with the cheese, it would’ve been a Krabby Patty. But you didn’t tuck them in, just left them out cold on top of their cheese blanket 😭",8,8_pickles_cold_hot_heat,0.517
"I'll take one, no tomato please.",2,2_tomato_salt_salt pepper_pepper,1.0
im making LOVE with you gng,16,16_smash_love_im_fact,0.303
In Mexico the take the word Hamburger literally and add Ham to it 😳,-1,outlier,0.173
in the Red bottle is Mayo 😳,12,12_mayo_mayo looks_bottle_red bottle,0.394
is that a krabby party🤗,7,7_krabby_krabby patty_patty_looks like,0.576
is that a royale with cheese? 🤣,4,4_cheese_cheeseburger_american_slice,0.265
It looks really delicious! 👌🏻,15,15_delicious_looks delicious_looks_look,1.0
"it looks so delicious, im drooling 🤤",15,15_delicious_looks delicious_looks_look,1.0
It really didn’t need the egg 😏,1,1_egg_yolk_runny_lost,1.0
It will never look this good during a rush though 😭✌️,15,15_delicious_looks delicious_looks_look,0.205
"It’s way too much mustard. Everything else looks good, though. I’m always down for an egg on the burger.",5,5_mustard_mustard burger_sandwich_hot,0.336
"it's, Bread, Spread,Meat , then you put the veggies",3,3_lettuce_lettuce tomato_veggies_tomato,0.062
Just to be devoured in 3bites🙏,-1,outlier,0.068
"L&T should be on top, not bottom.",-1,outlier,0.1
las hamburgueserias no se enteran que ese pan no es el adecuado...,11,11_20_come_10_mayo,1.0
Leave the egg and veggies off ew,1,1_egg_yolk_runny_lost,0.037
Lettuce and tomato do not belong on a cheese burger,3,3_lettuce_lettuce tomato_veggies_tomato,0.419
"Lettuce and tomatoe go on top, just saying. The burger will cook them otherwise.",3,3_lettuce_lettuce tomato_veggies_tomato,0.362
Lettuce and tomatoes a no no…pickles and onions absolutely,-1,outlier,0.164
"Like that onion egg trick, gunna try it later",9,9_onion_egg onion_onion ring_ring,0.422
liked within the first 3 seconds ✅️unliked when you started to smash it✅️reliked it when you stopped the smash ✅️,16,16_smash_love_im_fact,1.0
Looked good untill you started putting all that sickly sauces on it,-1,outlier,0.024
looks amazing but why is mayo in the ketchup bottle,10,10_ketchup_mayo ketchup_bottle_wheres,1.0
Looks beautiful but only if there was no tomato,2,2_tomato_salt_salt pepper_pepper,1.0
Looks delicious but the way the mayo was in a tiny little dot pmo,12,12_mayo_mayo looks_bottle_red bottle,0.503
"looks fantastic. but that lettuce is for presentation, give me a classic iceberg please.",3,3_lettuce_lettuce tomato_veggies_tomato,1.0
looks good but why the egg,1,1_egg_yolk_runny_lost,0.351
LOOKS GOOD BUT WITHOUT THE EGG AND MAYO.,-1,outlier,0.197
Looks great but no Mayo and mystery sauces 🤢,-1,outlier,0.189
looks like a crabby patty with egg,7,7_krabby_krabby patty_patty_looks like,1.0
looks like a Krabby patty,7,7_krabby_krabby patty_patty_looks like,1.0
Looks only BUT I still prefer RAMLY BURGER. THE BEST,-1,outlier,0.151
"Looks very good, BUT tomato needs salt.",2,2_tomato_salt_salt pepper_pepper,1.0
Lost me at the egg. 🫣😖,1,1_egg_yolk_runny_lost,0.7
Lost me on using tiny tongs to remove the paper from the smashed burger. Why couldn’t you just use your fingers? Same thing with the tomato.,14,14_gloves_using_meat_left,1.0
lost me when the egg yolk split 😭,1,1_egg_yolk_runny_lost,0.31
Lost me with the hot pickles,8,8_pickles_cold_hot_heat,0.469
Lost me with the kosher pickles.,8,8_pickles_cold_hot_heat,1.0
making an upside down cheeseburger,4,4_cheese_cheeseburger_american_slice,0.086
"man : Kitty you can have cheese burger
kitty : MUUAAARRGGHHH",-1,outlier,0.176
