Topic,Count,Name,Representation,Representative_Docs
12,14,12_mayo_mayo looks_bottle_red bottle,"['mayo', 'mayo looks', 'bottle', 'red bottle', 'red', 'need', 'love mayo', 'bottle mayo', 'great mayo', 'dollop']","['Need to 10x that mayo but looks great 😁', 'in the Red bottle is Mayo 😳', 'The mayo from the red bottle threw me']"
13,14,13_yes_ill_need_hot pickle,"['yes', 'ill', 'need', 'hot pickle', 'buy', 'come', 'right', 'life', '10', 'looks amazing']","['who wants a hot pickle😳', 'Yes, please may I have two?', 'yes, I need one, two of those']"
14,12,14_gloves_using_meat_left,"['gloves', 'using', 'meat', 'left', 'raw', 'stop', 'patty', 'thought', 'ingredients', 'changed']","['Great looking burger. And congrats on not wearing those stupid black gloves.', 'Thank you for wearing gloves and using tongs to handle the ingredients!', 'Stop using gloves and wash your hands, touching raw meat then ham']"
15,11,15_delicious_looks delicious_looks_look,"['delicious', 'looks delicious', 'looks', 'look', 'im', '20', 'wow', 'artist', 'haters', 'thats looks']","['Damn bro this looks delicious', 'Wow, this looks delicious 🤤', 'it looks so delicious, im drooling 🤤']"
16,10,16_smash_love_im_fact,"['smash', 'love', 'im', 'fact', 'burger didnt', 'ahh', 'stopped', 'smash burger', 'started', 'make']","['Oh thank God it\'s not a ""smash birger""', 'The fact that you did not make this into a hideous smash burger🥰', 'liked within the first 3 seconds ✅️unliked when you started to smash it✅️reliked it when you stopped the smash ✅️']"
17,9,17_pickles_pickle_mustard_mustard pickles,"['pickles', 'pickle', 'mustard', 'mustard pickles', 'id', 'bun burger', 'fresh', 'mustard meat', 'supposed', 'cooks']","['remove the mustard, pickle and tomatoes and id tear this up', 'Hold the pickles and the mustard', 'pickles on the burger while it cooks makes the pickles soggy and I HATE when somebody gives me the butt off the tomato with that hard green piece of core in the middle of it. other than that nice toasted bun and burger.']"
18,9,18_seasoning_people_grill_burger didnt,"['seasoning', 'people', 'grill', 'burger didnt', 'season', 'sides', 'big', 'guess', 'rest', 'looks good']","['Where the rest of the seasoning on the burger', 'No seasoning. I guess that’s the big trend now. Flavorless burgers. 🙄', 'why do white people refuse to use seasoning?']"
19,8,19_bun_sesame_seeds_half,"['bun', 'sesame', 'seeds', 'half', 'buns', 'bun half', 'question', 'sesame seeds', 'soggy', 'talking']","['Why the bun got like 1/3 sesame seed?', 'My only question is why does the bun have half seeds 😂', 'No one’s talking about only half of the bun has sesame seeds on it']"
20,7,20_burger burger_burger_burger thing_burger patty,"['burger burger', 'burger', 'burger thing', 'burger patty', 'grill', 'little', 'stop', 'center', 'thing', 'putting']","['Burger should have been the first thing on the grill', 'The burger patty was placed a little off center.', 'Stop putting the burger on the burger']"
21,7,21_cheeseburger_making cheeseburger_youre_making,"['cheeseburger', 'making cheeseburger', 'youre', 'making', 'want', 'cracked', 'egg eggs', 'buddy', 'trash', 'throw']","[""do you want a cookie 🍪🍩 cause you can make a cheeseburger wow you're amazing can you do a bowl of cereal next"", 'if i see a title ""making a cheeseburger"" and then I see an egg, I move on', 'You cracked an egg there, buddy. You’re not making a cheeseburger.']"
22,7,22_people_theres_reason_tf,"['people', 'theres', 'reason', 'tf', 'oh', 'isnt', 'dont like', 'wrong', 'comments', 'like']","['So many negative people commenting ...', 'People just NEED a reason to be pissed off now🥀🥀\U0001fae9', 'Tf with these comments? Make it yourself if you dont like it…']"
23,5,23_bun_lettuce_tomatoes_order,"['bun', 'lettuce', 'tomatoes', 'order', 'mustard mayo', 'lettuce tomatoes', 'pickles cheese', 'pepper', 'cheese', 'sauce']","['always put lettuce n tomatoes on the mayo side n the pickles n onions on the mustard side. mayo n tomatoes make for a juicy burger. dont forget to add bacon on the mayo side.', 'wrong order, it goes bottom bun, patty, ketchup, mustard, pickles, extra onions, lettuce, cheese, tomato, and top bun', 'mayo on bottom bun, fresh black pepper, burger, egg(optional), f those pickles, cheese, lettuce, tomato, mayo/mustard on top bun. in that order.\nif youve ever been to cherry cricket in denver, peanut butter on bottom bun, burger with salt and pepper, fried egg(runny), gouda, top bun.\nbe daring and do a split krispy kreme glazed, cut side out, glazed side on burger.']"
