comment,aspect,label,score
why your cheeseburger only have one slice of cheese?,ingredients,negative,0.626
"Wow, so much cheese",ingredients,negative,0.385
"Wow, this looks delicious 🤤",taste,positive,0.882
"Wow, this looks delicious 🤤",appearance,positive,0.882
You lost me with the egg 😂😂😂😂😂,ingredients,negative,0.729
2 eggs,ingredients,neutral,0.483
Absolute hard no with egg on a burger.,ingredients,negative,0.9
Absolutely delicious,taste,positive,0.733
All looks good except the tomato has the tough core in the centre,appearance,negative,0.668
All of y’all are such egg haters 😭😭😭,ingredients,negative,0.941
always on that mf egg.,ingredients,negative,0.707
always put lettuce n tomatoes on the mayo side n the pickles n onions on the mustard side. mayo n tomatoes make for a juicy burger. dont forget to add bacon on the mayo side.,ingredients,positive,0.462
AMSR for making a cheeseburger awwww.,ingredients,positive,0.483
and then you break the egg yellow 🫣,ingredients,negative,0.751
Anyone that fries an egg in an onion ring need putting on death row… more so if that onion ring isn’t beer battered.,ingredients,negative,0.915
aus der Roten Flasche kommt Mayo raus 😳,ingredients,neutral,0.689
bit cheap with the one onion ring buddy,price,neutral,0.461
Bro really made a cheese burger 😂😭✌️,ingredients,positive,0.49
buns mustard meat cheese pickles thats all that goes on a cheeseburger,ingredients,neutral,0.517
Can I get more seasoning on it? 😅 Looks good though,appearance,positive,0.73
Cheeseburger?,ingredients,neutral,0.63
Cheeseburgers don't get lettuce tomato or eggs....this is a burger,ingredients,neutral,0.477
Damn bro this looks delicious,taste,positive,0.767
Damn bro this looks delicious,appearance,positive,0.767
Death to brioche buns,ingredients,negative,0.849
definitely yummy,taste,positive,0.606
Dem gloves look like the fit like a lifestyle😂 iykyk😂😂,appearance,positive,0.475
do you want a cookie 🍪🍩 cause you can make a cheeseburger wow you're amazing can you do a bowl of cereal next,ingredients,positive,0.655
doesn't need an egg,ingredients,negative,0.539
Don’t trust anyone who put mayo on a ketchup bottle,ingredients,negative,0.799
Don’t wreck the bun,ingredients,negative,0.714
double egg on mine please 💕,ingredients,neutral,0.424
Double mustard was an odd choice. But it looks great,appearance,positive,0.63
"Dry, mayo on both sides not mustard for me.",ingredients,negative,0.89
egg 🥚 pop 💀,ingredients,neutral,0.417
egg in burger ? are you insane ?,ingredients,negative,0.819
Egg in the onion ring was a genius move,ingredients,positive,0.835
egg is amazing on a burger. unfortunately put four times as much mustard as should be on a burger and that is all you will taste now.,taste,negative,0.854
egg is amazing on a burger. unfortunately put four times as much mustard as should be on a burger and that is all you will taste now.,ingredients,negative,0.854
Egg on a burger 🍔 🥰,ingredients,positive,0.711
"egg, onion, tomato, lettuce, mustard, mayo, pickles, cheese, toasted bun. 10\10, bonus points for no ketchup.",ingredients,positive,0.59
eggburger,ingredients,neutral,0.384
Egg😂😂😂😂😂😂😂,ingredients,neutral,0.475
egg😱,ingredients,neutral,0.394
Egg😳,ingredients,neutral,0.403
Eggs and mayo dont belong a burgers,ingredients,negative,0.788
eggs do not belong on burgers 🤢,ingredients,negative,0.779
Eggs don’t belong on hamburgers.,ingredients,negative,0.713
eggs don't belong on burgers,ingredients,negative,0.742
Eggs on burger 😭,ingredients,negative,0.841
Everyone talking about leaving the egg out of the burger but I want the yolk runny,ingredients,negative,0.537
Everyone talking about the lettuce and tomato where the FF is the seasoning on the meat??,ingredients,negative,0.635
Exactly…Ketchup doesn’t go on a burger,ingredients,negative,0.651
"for me, it would be Perfect without egg, i have eggs in burgers",ingredients,negative,0.451
forgot the ketchup!,ingredients,negative,0.683
fried egg on a burger here in my part of NY makes it a moose burger,ingredients,negative,0.503
Great looking burger. And congrats on not wearing those stupid black gloves.,appearance,positive,0.858
Hate when they smash all the flavor out the burger,taste,negative,0.93
Honestly probably the best I’ve seen putting a fried egg on a burger. Idk after you bite in but it always goes everywhere,ingredients,positive,0.755
how much mayo did you not put on that burger,ingredients,negative,0.809
How to make an “American” cheeseburger via by how the rest of the world thinks it is.,ingredients,neutral,0.682
How to ruin a cheeseburger in 5 easy steps:,ingredients,neutral,0.561
I don’t get egg on burgers. I thought it changed the taste too much,taste,negative,0.87
I don’t get egg on burgers. I thought it changed the taste too much,ingredients,negative,0.87
I dont like that you made the egg first. I like my egg a bit runny,ingredients,negative,0.902
I guess the mayo is extra charge,ingredients,neutral,0.595
I hate how yall flip the burger and instantly put the cheese on i flip mine at least 2 times for each side,ingredients,negative,0.856
I hate pressed meat! You are drying out the meat! Let it cook!,ingredients,negative,0.943
I need more cheese🧀🍔,ingredients,neutral,0.463
I prefer my egg yolk runny,ingredients,neutral,0.44
I thought the wax paper to press the patty was a weird cheese for a sec,ingredients,negative,0.595
I was with you until you put veggies on the bottom,ingredients,neutral,0.507
I’d bya for putting that egg on my burger,ingredients,negative,0.417
I’m so tired of smash burgers and egg on everything,ingredients,negative,0.93
Idk about Ya'll ts look delicious,taste,positive,0.592
Idk about Ya'll ts look delicious,appearance,positive,0.592
"if i see a title ""making a cheeseburger"" and then I see an egg, I move on",ingredients,neutral,0.575
if you want to make a cheeseburger use CHEESE amd no plastic cheeselike crap,ingredients,neutral,0.58
"If you would’ve tucked the pickles in with the cheese, it would’ve been a Krabby Patty. But you didn’t tuck them in, just left them out cold on top of their cheese blanket 😭",ingredients,negative,0.816
in the Red bottle is Mayo 😳,ingredients,neutral,0.66
is that a royale with cheese? 🤣,ingredients,neutral,0.511
It looks delicious.,taste,positive,0.875
It looks delicious.,appearance,positive,0.875
It looks really delicious! 👌🏻,taste,positive,0.921
It looks really delicious! 👌🏻,appearance,positive,0.921
"it looks so delicious, im drooling 🤤",taste,positive,0.872
"it looks so delicious, im drooling 🤤",appearance,positive,0.872
It looks so tasty,appearance,positive,0.823
It really didn’t need the egg 😏,ingredients,neutral,0.432
It will never look this good during a rush though 😭✌️,appearance,positive,0.672
"It’s way too much mustard. Everything else looks good, though. I’m always down for an egg on the burger.",appearance,positive,0.517
"It’s way too much mustard. Everything else looks good, though. I’m always down for an egg on the burger.",ingredients,positive,0.517
"it's, Bread, Spread,Meat , then you put the veggies",ingredients,neutral,0.7
ketchup,ingredients,neutral,0.406
Ketchup,ingredients,neutral,0.456
Ketchup??,ingredients,neutral,0.536
Leave the egg and veggies off ew,ingredients,negative,0.885
Lettuce and tomato do not belong on a cheese burger,ingredients,negative,0.805
"Like that onion egg trick, gunna try it later",ingredients,positive,0.521
Looked good untill you started putting all that sickly sauces on it,appearance,negative,0.721
Looks amazing,appearance,positive,0.886
looks amazing but why is mayo in the ketchup bottle,appearance,negative,0.738
looks amazing but why is mayo in the ketchup bottle,ingredients,negative,0.738
Looks beautiful but only if there was no tomato,appearance,negative,0.341
looks buss,appearance,positive,0.358
Looks delicious,taste,positive,0.823
Looks delicious,appearance,positive,0.823
Looks delicious,taste,positive,0.823
Looks delicious,appearance,positive,0.823
Looks delicious but the way the mayo was in a tiny little dot pmo,taste,negative,0.415
Looks delicious but the way the mayo was in a tiny little dot pmo,appearance,negative,0.415
Looks delicious but the way the mayo was in a tiny little dot pmo,ingredients,negative,0.415
"looks fantastic. but that lettuce is for presentation, give me a classic iceberg please.",appearance,positive,0.585
looks fire tbh,appearance,positive,0.82
looks good,appearance,positive,0.771
looks good but why the egg,appearance,negative,0.674
looks good but why the egg,ingredients,negative,0.674
LOOKS GOOD BUT WITHOUT THE EGG AND MAYO.,appearance,negative,0.526
LOOKS GOOD BUT WITHOUT THE EGG AND MAYO.,ingredients,negative,0.526
Looks great but no Mayo and mystery sauces 🤢,appearance,negative,0.78
Looks great but no Mayo and mystery sauces 🤢,ingredients,negative,0.78
looks great🥰🥰🥰👍,appearance,positive,0.916
looks like a crabby patty with egg,appearance,negative,0.47
looks like a crabby patty with egg,ingredients,negative,0.47
looks like a Krabby patty,appearance,neutral,0.461
Looks like emoji 🍔,appearance,neutral,0.674
Looks only BUT I still prefer RAMLY BURGER. THE BEST,appearance,positive,0.85
Looks pretty good,appearance,positive,0.901
"Looks very good, BUT tomato needs salt.",appearance,negative,0.617
Lost me at the egg. 🫣😖,ingredients,negative,0.931
lost me when the egg yolk split 😭,ingredients,negative,0.889
making an upside down cheeseburger,ingredients,neutral,0.735
"man : Kitty you can have cheese burger
kitty : MUUAAARRGGHHH",ingredients,neutral,0.365
Maybe its just me but if I reach for a RED condiment bottle and if anything other than Ketchup or Hot sause comes out....Im pissed...burger looks great tho,appearance,negative,0.933
Maybe its just me but if I reach for a RED condiment bottle and if anything other than Ketchup or Hot sause comes out....Im pissed...burger looks great tho,ingredients,negative,0.933
Mayo in the ketchup bottle is wild work,ingredients,negative,0.448
Mayo is snot.,ingredients,negative,0.904
Mayo? Shame on you,ingredients,negative,0.958
Mf did u just use a mixing spoon to spread sauce on a bun,ingredients,negative,0.708
Minus the egg.,ingredients,negative,0.777
miss me wit that dollop of mayo 😳,ingredients,neutral,0.393
Missing the ketchup,ingredients,negative,0.841
More cheese or I won’t eat 👌,ingredients,negative,0.449
More cheese please.,ingredients,negative,0.402
"more mayo, delete the mustard and egg.",ingredients,negative,0.684
Mustard not required my good sir. Mayo on the salad side ketchup on meat side,ingredients,neutral,0.594
mustard on eggs?,ingredients,neutral,0.54
Mustard on the meat side! 😂,ingredients,neutral,0.545
My ideal From bottom to top: Bun - lettuce or tomatoes - cheese - beef/chicken - cheese - hash brown - sauce - lettuce - sauce,ingredients,neutral,0.702
"Nah, adding an egg is crazy work",ingredients,negative,0.424
Nearly everything is better with an egg. Ramen. Burger. Pizza. All valid and good additions.,ingredients,positive,0.862
"Need more pickles. Those look nice, but one bite snd entire thing slides off",appearance,negative,0.662
Needs bacon but delicious,taste,positive,0.454
needs more meat and less gunk,ingredients,negative,0.631
Never got into the egg on the burger thing,ingredients,neutral,0.513
nga that looks like a burgernator✌️😭,appearance,positive,0.433
no egg,ingredients,negative,0.475
No egg & don’t squash the burger while cooking,ingredients,negative,0.658
No egg ... egg is for breakfast... no egg on burgers pizza etc ...,ingredients,neutral,0.506
no eggs..blech,ingredients,negative,0.9
No ketchup is a sin.,ingredients,negative,0.917
No mayo add ketchup,ingredients,neutral,0.491
No mayo for me,ingredients,negative,0.749
No mayo! Yuk,ingredients,neutral,0.572
No one’s talking about only half of the bun has sesame seeds on it,ingredients,neutral,0.53
No seasoning. I guess that’s the big trend now. Flavorless burgers. 🙄,taste,negative,0.796
Normally would agree but homie did justice wit that one I don’t like an under cooked egg like runny for a burger ig not under cooked tho lol,ingredients,positive,0.379
"Oh my God, I love your videos so much. It brings me so much inspiration and I love every time you spread the mayo on the bun and it makes me so happy like I literally can’t stand it in those pickles are so even my gosh like I love the mayo and the cheese and the egg and the mustard and the pickles and the mayo and the lettuce and the tomatoes and the buns and the sesame seeds and everything on them in the heat.",ingredients,positive,0.799
"Pickle looks fresh, also the mayo isn’t supposed to be in the red bottle😳",appearance,positive,0.427
"Pickle looks fresh, also the mayo isn’t supposed to be in the red bottle😳",ingredients,positive,0.427
pickles on the burger while it cooks makes the pickles soggy and I HATE when somebody gives me the butt off the tomato with that hard green piece of core in the middle of it. other than that nice toasted bun and burger.,ingredients,negative,0.93
pickles the looking way,appearance,neutral,0.495
Remove egg and tomato please,ingredients,negative,0.732
Ruined it by using American cheese,ingredients,negative,0.851
Ruined it with that imitation cheese,ingredients,negative,0.895
ruined it with the egg,ingredients,negative,0.863
"RUINED that burger with mustard, extra MAYO and ketchup only save the mustard for hotdogs. 🤮",ingredients,negative,0.939
skip the onion and make the egg over easy. that burger would be spot on.,ingredients,positive,0.52
so cheap with that mayo girl,price,negative,0.668
so cheap with that mayo girl,ingredients,negative,0.668
Something about mustard on a cheeseburger just makes everything right.,ingredients,positive,0.826
"Stop using gloves and wash your hands, touching raw meat then ham",ingredients,negative,0.51
Stopped watching after junk cheese,ingredients,negative,0.701
Such light seasonings?? Too bland for my Pakistani tastebuds 😂😭,taste,negative,0.927
Sup with the mustard? I like mustard. But twice? No Ketchup? Sooo many questions.,ingredients,negative,0.477
swap the egg for bacon. add one more peice of cheese. mayo for ketchup and I'm in.,ingredients,neutral,0.533
Take that TOMATO OFFFF!! That’s fried egg onion tho!! 🤏🏾🤏🏾,ingredients,negative,0.82
Thank you for not using ketchup. But a little more mayo would be good,ingredients,positive,0.466
that amount of mayo is the same as my will to live,ingredients,neutral,0.559
that lettuce looks delicious,taste,positive,0.862
that lettuce looks delicious,appearance,positive,0.862
"That lettuce sucks on a hamburger, it always look like it came of the floor of the kitchen 🤮",appearance,negative,0.944
that looks amazing but loose the egg,appearance,negative,0.411
that looks amazing but loose the egg,ingredients,negative,0.411
that looks👌,appearance,positive,0.744
thats a Cheese Burger,ingredients,neutral,0.715
The bottom bun is gonna be soggy and gross,taste,negative,0.942
The bottom bun is gonna be soggy and gross,ingredients,negative,0.942
The burger looks burnt,appearance,negative,0.942
the egg is fine but why is it upside down?,ingredients,negative,0.772
The egg is the best part,ingredients,positive,0.848
The lettuce is trash. The yellow sauce is sus and the egg makes my skin crawl,ingredients,negative,0.958
"them hating eggs on the burger, but sucks dih",ingredients,negative,0.956
They do things different here ahh egg,ingredients,negative,0.52
this sentimental sensory-focused style is weird and creepy. it's a cheeseburger.,ingredients,negative,0.939
those buns already killed it. Nongood burger between sponges...,ingredients,negative,0.957
those dont look like hamburger dills,appearance,negative,0.7
Those sweet milk buns they use for burgers are not delicious,taste,negative,0.931
Those sweet milk buns they use for burgers are not delicious,ingredients,negative,0.931
those veggies are warm 😭,ingredients,positive,0.622
thts yummy,taste,positive,0.57
"Toppings as they are called go on Top, but still a good looking burger.",appearance,positive,0.715
"Want to study bricks the egg by one hands without smash the eggyolk, pm me",ingredients,neutral,0.546
well done... y'all stuff look raw,appearance,positive,0.884
What a delightful presentation 🍔 😁👍,appearance,positive,0.942
"what an waste of an egg, might as well eat rubber.",ingredients,negative,0.961
What is this communist bullshit where the lettuce and tomato go UNDER the meat?,ingredients,negative,0.901
Where the heck is the ketchup,ingredients,negative,0.848
Where’s the ketchup lol 😂,ingredients,neutral,0.49
wheres the caramelisation on the meat,ingredients,negative,0.757
where's the ketchup my guy 😂,ingredients,neutral,0.528
who put egg on burger?,ingredients,neutral,0.481
Why cook the egg before beef???,ingredients,negative,0.694
Why is there an egg in an onion,ingredients,negative,0.726
Why no ketchup?,ingredients,negative,0.739
Why the bun got like 1/3 sesame seed?,ingredients,negative,0.726
Why the egg ? 😳,ingredients,negative,0.478
Why we making the bun first,ingredients,negative,0.475
why yall putting cheese on my cheeseburger,ingredients,negative,0.871
why you put cheese on my cheeseburger?,ingredients,negative,0.796
wow yummy😋,taste,positive,0.746
wow! looks delicious,taste,positive,0.863
wow! looks delicious,appearance,positive,0.863
wrong order to make them in but yes that's a cheese burger do you want a cookie,ingredients,neutral,0.513
Wrong. Pickles are a cold item. Cold items go on top of hot items. Egg is unnecessary.,ingredients,negative,0.863
"Yet another TikTok video with an unseasoned egg. Where does it end, people?!",ingredients,negative,0.905
You better bring back the mayo bottle and squeeze about four more seconds on that,ingredients,neutral,0.537
"You cracked an egg there, buddy. You’re not making a cheeseburger.",ingredients,negative,0.863
you know its going to be expensive when the chef has pickle tweezers and a baby spoons for mustard,price,negative,0.554
You lost me at the toxic-chemical American cheese,ingredients,negative,0.946
yummy,taste,positive,0.448
